battle,country,result,source_url
Invasion of Åland,Sweden,other,https://en.wikipedia.org/wiki/Invasion_of_Åland
Invasion of Courland (1658),Sweden,win,https://en.wikipedia.org/wiki/Invasion_of_Courland_(1658)
Battle of Jakobstadt,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Jakobstadt
Battle of Jarosław (1656),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Jarosław_(1656)
Battle of Jutas,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Jutas
Battle of Kaipiais,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kaipiais
Battle of Kalisz,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kalisz
Conquest of Kalmar,Sweden,win,https://en.wikipedia.org/wiki/Conquest_of_Kalmar
Battle of Karksi (1600),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Karksi_(1600)
Assault on Karlsborg,Sweden,win,https://en.wikipedia.org/wiki/Assault_on_Karlsborg
Battle of Karstula,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Karstula
Battle of Kauhajoki,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kauhajoki
Battle of Kcynia,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kcynia
Battle of Keltis,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Keltis
Battle of Kircholm,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kircholm
Battle of Kivinebb,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kivinebb
Battle of Kjølberg Bridge,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kjølberg_Bridge
Battle of Kłecko,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kłecko
Battle of Kletsk (1706),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kletsk_(1706)
Battle of Kliszów,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kliszów
Battle of Kokenhausen,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kokenhausen
Storm of Kokenhusen,Sweden,win,https://en.wikipedia.org/wiki/Storm_of_Kokenhusen
Battle of Kokonsaari,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kokonsaari
Battle of Koljonvirta,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Koljonvirta
Evacuation of Kolkanpää,Sweden,win,https://en.wikipedia.org/wiki/Evacuation_of_Kolkanpää
Battle of Koporye,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Koporye
Battle of Krasnokutsk–Gorodnoye,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Krasnokutsk–Gorodnoye
Battle of Kroppenhof,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kroppenhof
Battle of Krosno,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Krosno
Battle of Kumlinge,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kumlinge
Battle of Kuopio,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kuopio
Battle of Kvistrum,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kvistrum
Battle of Langnes,Sweden,other,https://en.wikipedia.org/wiki/Battle_of_Langnes
Battle of Lappfjärd,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Lappfjärd
Battle of Lapua,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Lapua
Storming of Lemberg,Sweden,win,https://en.wikipedia.org/wiki/Storming_of_Lemberg
Battle of Lemo,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Lemo
Battle of Lena,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Lena
Battle of Lesnaya,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Lesnaya
Battle of Lihula,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Lihula
Battle of Lintulaks,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Lintulaks
Battle of Listenhoff,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Listenhoff
Livonian campaign (1617–1618),Sweden,other,https://en.wikipedia.org/wiki/Livonian_campaign_(1617–1618)
Livonian campaign (1625–1626),Sweden,win,https://en.wikipedia.org/wiki/Livonian_campaign_(1625–1626)
Battle of Lode,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Lode
Battle of Lokalaks,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Lokalaks
Battle of Łowicz,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Łowicz
Battle of Lubrze,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Lubrze
Battle of Malatitze,Sweden,other,https://en.wikipedia.org/wiki/Battle_of_Malatitze
Battle of Mared,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Mared
